Block,Treatment,Plant,Leaf,FvFm,Day,,,
1,NA,1,1,0.698,1,,,
1,NA,1,2,0.714,1,,,
1,NA,1,3,0.658,1,,,
1,NA,2,1,0.823,1,,,
1,NA,2,2,0.773,1,,,
1,NA,2,3,0.755,1,,,
1,NA,3,1,0.731,1,,,
1,NA,3,2,0.748,1,,,
1,NA,3,3,0.7,1,,,
1,NA,4,1,0.746,1,,,
1,NA,4,2,0.744,1,,,
1,NA,4,3,0.704,1,,,
1,NA,5,1,0.755,1,,,
1,NA,5,2,0.775,1,,,
1,NA,5,3,0.699,1,,,
1,NA,6,1,0.743,1,,,
1,NA,6,2,0.695,1,,,
1,NA,6,3,0.705,1,,,
1,NA,7,1,0.693,1,,,
1,NA,7,2,0.674,1,,,
1,NA,7,3,0.684,1,,,
1,NA,8,1,0.683,1,,,
1,NA,8,2,0.728,1,,,
1,NA,8,3,0.65,1,,,
1,NA,9,1,0.701,1,,,
1,NA,9,2,0.661,1,,,
1,NA,9,3,0.732,1,,,
1,NA,10,1,0.731,1,,,
1,NA,10,2,0.741,1,,,
1,NA,10,3,0.679,1,,,
1,LA,1,1,0.737,1,,,
1,LA,1,2,0.743,1,,,
1,LA,1,3,0.746,1,,,
1,LA,2,1,0.728,1,,,
1,LA,2,2,0.754,1,,,
1,LA,2,3,0.73,1,,,
1,LA,3,1,0.724,1,,,
1,LA,3,2,0.709,1,,,
1,LA,3,3,0.628,1,,,
1,LA,4,1,0.772,1,,,
1,LA,4,2,0.745,1,,,
1,LA,4,3,0.78,1,,,
1,LA,5,1,0.797,1,,,
1,LA,5,2,0.789,1,,,
1,LA,5,3,0.792,1,,,
1,LA,6,1,0.78,1,,,
1,LA,6,2,0.77,1,,,
1,LA,6,3,0.774,1,,,0
1,LA,7,1,0.76,1,,,
1,LA,7,2,0.69,1,,,
1,LA,7,3,0.802,1,,,
1,LA,8,1,0.661,1,,,
1,LA,8,2,0.74,1,,,
1,LA,8,3,0.755,1,,,
1,LA,9,1,0.781,1,,,
1,LA,9,2,0.775,1,,,
1,LA,9,3,0.773,1,,,
1,LA,10,1,0.803,1,,,
1,LA,10,2,0.708,1,,,
1,LA,10,3,0.787,1,,,
1,CE,1,1,0.692,1,,,
1,CE,1,2,0.675,1,,,
1,CE,1,3,0.622,1,,,
1,CE,2,1,0.702,1,,,
1,CE,2,2,0.64,1,,,
1,CE,2,3,0.612,1,,,
1,CE,3,1,0.634,1,,,
1,CE,3,2,0.648,1,,,
1,CE,3,3,0.669,1,,,
1,CE,4,1,0.704,1,,,
1,CE,4,2,0.678,1,,,
1,CE,4,3,0.692,1,,,
1,CE,5,1,0.72,1,,,
1,CE,5,2,0.714,1,,,
1,CE,5,3,0.718,1,,,
1,CE,6,1,0.755,1,,,
1,CE,6,2,0.604,1,,,
1,CE,6,3,0.72,1,,,
1,CE,7,1,0.737,1,,,
1,CE,7,2,0.704,1,,,
1,CE,7,3,0.765,1,,,
1,CE,8,1,0.78,1,,,
1,CE,8,2,0.785,1,,,
1,CE,8,3,0.767,1,,,
1,CE,9,1,0.764,1,,,
1,CE,9,2,0.78,1,,,
1,CE,9,3,0.767,1,,,
1,CE,10,1,0.704,1,,,
1,CE,10,2,0.639,1,,,
1,CE,10,3,0.755,1,,,
1,RE,1,1,0.768,1,,,
1,RE,1,2,0.729,1,,,
1,RE,1,3,0.766,1,,,
1,RE,2,1,0.783,1,,,
1,RE,2,2,0.782,1,,,
1,RE,2,3,0.759,1,,,
1,RE,3,1,0.759,1,,,
1,RE,3,2,0.771,1,,,
1,RE,3,3,0.739,1,,,
1,RE,4,1,0.78,1,,,
1,RE,4,2,0.792,1,,,
1,RE,4,3,0.786,1,,,
1,RE,5,1,0.787,1,,,
1,RE,5,2,0.771,1,,,
1,RE,5,3,0.727,1,,,
1,RE,6,1,0.77,1,,,
1,RE,6,2,0.591,1,,,
1,RE,6,3,0.649,1,,,
1,RE,7,1,0.643,1,,,
1,RE,7,2,0.667,1,,,
1,RE,7,3,0.735,1,,,
1,RE,8,1,0.759,1,,,
1,RE,8,2,0.718,1,,,
1,RE,8,3,0.707,1,,,
1,RE,9,1,0.734,1,,,
1,RE,9,2,0.746,1,,,
1,RE,9,3,0.724,1,,,
1,RE,10,1,0.74,1,,,
1,RE,10,2,0.742,1,,,
1,RE,10,3,0.711,1,,,
2,NA,1,1,0.819,1,,,
2,NA,1,2,0.806,1,,,
2,NA,1,3,0.791,1,,,
2,NA,2,1,0.772,1,,,
2,NA,2,2,0.769,1,,,
2,NA,2,3,0.794,1,,,
2,NA,3,1,0.775,1,,,
2,NA,3,2,0.754,1,,,
2,NA,3,3,0.754,1,,,
2,NA,4,1,0.726,1,,,
2,NA,4,2,0.762,1,,,
2,NA,4,3,0.761,1,,,
2,NA,5,1,0.772,1,,,
2,NA,5,2,0.725,1,,,
2,NA,5,3,0.698,1,,,
2,NA,6,1,0.764,1,,,
2,NA,6,2,0.783,1,,,
2,NA,6,3,0.795,1,,,
2,NA,7,1,0.771,1,,,
2,NA,7,2,0.786,1,,,
2,NA,7,3,0.783,1,,,
2,NA,8,1,0.791,1,,,
2,NA,8,2,0.757,1,,,
2,NA,8,3,0.779,1,,,
2,NA,9,1,0.789,1,,,
2,NA,9,2,0.79,1,,,
2,NA,9,3,0.753,1,,,
2,NA,10,1,0.772,1,,,
2,NA,10,2,0.765,1,,,
2,NA,10,3,0.772,1,,,
2,LA,1,1,0.737,1,,,
2,LA,1,2,0.724,1,,,
2,LA,1,3,0.729,1,,,
2,LA,2,1,0.724,1,,,
2,LA,2,2,0.746,1,,,
2,LA,2,3,0.736,1,,,
2,LA,3,1,0.735,1,,,
2,LA,3,2,0.721,1,,,
2,LA,3,3,0.731,1,,,
2,LA,4,1,0.736,1,,,
2,LA,4,2,0.699,1,,,
2,LA,4,3,0.675,1,,,
2,LA,5,1,0.726,1,,,
2,LA,5,2,0.731,1,,,
2,LA,5,3,0.737,1,,,
2,LA,6,1,0.746,1,,,
2,LA,6,2,0.705,1,,,
2,LA,6,3,0.748,1,,,
2,LA,7,1,0.675,1,,,
2,LA,7,2,0.766,1,,,
2,LA,7,3,0.736,1,,,
2,LA,8,1,0.791,1,,,
2,LA,8,2,0.732,1,,,
2,LA,8,3,0.787,1,,,
2,LA,9,1,0.798,1,,,
2,LA,9,2,0.796,1,,,
2,LA,9,3,0.765,1,,,
2,LA,10,1,0.74,1,,,
2,LA,10,2,0.706,1,,,
2,LA,10,3,0.794,1,,,
2,CE,1,1,0.784,1,,,
2,CE,1,2,0.783,1,,,
2,CE,1,3,0.769,1,,,
2,CE,2,1,0.781,1,,,
2,CE,2,2,0.78,1,,,
2,CE,2,3,0.769,1,,,
2,CE,3,1,0.78,1,,,
2,CE,3,2,0.778,1,,,
2,CE,3,3,0.774,1,,,
2,CE,4,1,0.71,1,,,
2,CE,4,2,0.755,1,,,
2,CE,4,3,0.728,1,,,
2,CE,5,1,0.794,1,,,
2,CE,5,2,0.794,1,,,
2,CE,5,3,0.779,1,,,
2,CE,6,1,0.775,1,,,
2,CE,6,2,0.764,1,,,
2,CE,6,3,0.77,1,,,
2,CE,7,1,0.79,1,,,
2,CE,7,2,0.797,1,,,
2,CE,7,3,0.764,1,,,
2,CE,8,1,0.776,1,,,
2,CE,8,2,0.754,1,,,
2,CE,8,3,0.811,1,,,
2,CE,9,1,0.79,1,,,
2,CE,9,2,0.76,1,,,
2,CE,9,3,0.797,1,,,
2,CE,10,1,0.756,1,,,
2,CE,10,2,0.789,1,,,
2,CE,10,3,0.745,1,,,
2,RE,1,1,0.768,1,,,
2,RE,1,2,0.796,1,,,
2,RE,1,3,0.777,1,,,
2,RE,2,1,0.757,1,,,
2,RE,2,2,0.762,1,,,
2,RE,2,3,0.668,1,,,
2,RE,3,1,0.753,1,,,
2,RE,3,2,0.801,1,,,
2,RE,3,3,0.689,1,,,
2,RE,4,1,0.778,1,,,
2,RE,4,2,0.778,1,,,
2,RE,4,3,0.792,1,,,
2,RE,5,1,0.79,1,,,
2,RE,5,2,0.788,1,,,
2,RE,5,3,0.78,1,,,
2,RE,6,1,0.725,1,,,
2,RE,6,2,0.707,1,,,
2,RE,6,3,0.706,1,,,
2,RE,7,1,0.758,1,,,
2,RE,7,2,0.769,1,,,
2,RE,7,3,0.79,1,,,
2,RE,8,1,0.762,1,,,
2,RE,8,2,0.794,1,,,
2,RE,8,3,0.755,1,,,
2,RE,9,1,0.762,1,,,
2,RE,9,2,0.789,1,,,
2,RE,9,3,0.783,1,,,
2,RE,10,1,0.783,1,,,
2,RE,10,2,0.778,1,,,
2,RE,10,3,0.759,1,,,
2,NA,1,1,0.821,1,,,
3,NA,1,2,0.754,1,,,
3,NA,1,3,0.736,1,,,
3,NA,2,1,0.784,1,,,
3,NA,2,2,0.771,1,,,
3,NA,2,3,0.749,1,,,
3,NA,3,1,0.711,1,,,
3,NA,3,2,0.759,1,,,
3,NA,3,3,0.732,1,,,
3,NA,4,1,0.789,1,,,
3,NA,4,2,0.767,1,,,
3,NA,4,3,0.744,1,,,
3,NA,5,1,0.735,1,,,
3,NA,5,2,0.737,1,,,
3,NA,5,3,0.768,1,,,
3,NA,6,1,0.763,1,,,
3,NA,6,2,0.729,1,,,
3,NA,6,3,0.763,1,,,
3,NA,7,1,0.818,1,,,
3,NA,7,2,0.741,1,,,
3,NA,7,3,0.745,1,,,
3,NA,8,1,0.735,1,,,
3,NA,8,2,0.75,1,,,
3,NA,8,3,0.78,1,,,
3,NA,9,1,0.777,1,,,
3,NA,9,2,0.725,1,,,
3,NA,9,3,0.752,1,,,
3,NA,10,1,0.777,1,,,
3,NA,10,2,0.77,1,,,
3,NA,10,3,0.759,1,,,
3,LA,1,1,0.743,1,,,
3,LA,1,2,0.751,1,,,
3,LA,1,3,0.791,1,,,
3,LA,2,1,0.785,1,,,
3,LA,2,2,0.823,1,,,
3,LA,2,3,0.829,1,,,
3,LA,3,1,0.783,1,,,
3,LA,3,2,0.801,1,,,
3,LA,3,3,0.776,1,,,
3,LA,4,1,0.798,1,,,
3,LA,4,2,0.796,1,,,
3,LA,4,3,0.786,1,,,
3,LA,5,1,0.769,1,,,
3,LA,5,2,0.778,1,,,
3,LA,5,3,0.778,1,,,
3,LA,6,1,0.758,1,,,
3,LA,6,2,0.766,1,,,
3,LA,6,3,0.753,1,,,
3,LA,7,1,0.748,1,,,
3,LA,7,2,0.739,1,,,
3,LA,7,3,0.739,1,,,
3,LA,8,1,0.765,1,,,
3,LA,8,2,0.74,1,,,
3,LA,8,3,0.776,1,,,
3,LA,9,1,0.774,1,,,
3,LA,9,2,0.769,1,,,
3,LA,9,3,0.746,1,,,
3,LA,10,1,0.764,1,,,
3,LA,10,2,0.778,1,,,
3,LA,10,3,0.735,1,,,
3,CE,1,1,0.714,1,,,
3,CE,1,2,0.755,1,,,
3,CE,1,3,0.774,1,,,
3,CE,2,1,0.755,1,,,
3,CE,2,2,0.751,1,,,
3,CE,2,3,0.754,1,,,
3,CE,3,1,0.758,1,,,
3,CE,3,2,0.787,1,,,
3,CE,3,3,0.834,1,,,
3,CE,4,1,0.794,1,,,
3,CE,4,2,0.785,1,,,
3,CE,4,3,0.775,1,,,
3,CE,5,1,0.725,1,,,
3,CE,5,2,0.692,1,,,
3,CE,5,3,0.749,1,,,
3,CE,6,1,0.759,1,,,
3,CE,6,2,0.741,1,,,
3,CE,6,3,0.738,1,,,
3,CE,7,1,0.708,1,,,
3,CE,7,2,0.69,1,,,
3,CE,7,3,0.803,1,,,
3,CE,8,1,0.778,1,,,
3,CE,8,2,0.759,1,,,
3,CE,8,3,0.715,1,,,
3,CE,9,1,0.769,1,,,
3,CE,9,2,0.73,1,,,
3,CE,9,3,0.761,1,,,
3,CE,10,1,0.777,1,,,
3,CE,10,2,0.747,1,,,
3,CE,10,3,0.786,1,,,
3,RE,1,1,0.671,1,,,
3,RE,1,2,0.61,1,,,
3,RE,1,3,0.743,1,,,
3,RE,2,1,0.76,1,,,
3,RE,2,2,0.781,1,,,
3,RE,2,3,0.754,1,,,
3,RE,3,1,0.819,1,,,
3,RE,3,2,0.814,1,,,
3,RE,3,3,0.677,1,,,
3,RE,4,1,0.799,1,,,
3,RE,4,2,0.8,1,,,
3,RE,4,3,0.8,1,,,
3,RE,5,1,0.819,1,,,
3,RE,5,2,0.781,1,,,
3,RE,5,3,0.782,1,,,
3,RE,6,1,0.767,1,,,
3,RE,6,2,0.784,1,,,
3,RE,6,3,0.758,1,,,
3,RE,7,1,0.712,1,,,
3,RE,7,2,0.724,1,,,
3,RE,7,3,0.781,1,,,
3,RE,8,1,0.794,1,,,
3,RE,8,2,0.79,1,,,
3,RE,8,3,0.767,1,,,
3,RE,9,1,0.777,1,,,
3,RE,9,2,0.783,1,,,
3,RE,9,3,0.78,1,,,
3,RE,10,1,0.696,1,,,
3,RE,10,2,0.762,1,,,
3,RE,10,3,0.764,1,,,
1,NA,11,1,0.667,2,,,
1,NA,11,2,0.746,2,,,
1,NA,11,3,0.729,2,,,
1,NA,12,1,0.736,2,,,
1,NA,12,2,0.742,2,,,
1,NA,12,3,0.707,2,,,
1,NA,13,1,0.686,2,,,
1,NA,13,2,0.681,2,,,
1,NA,13,3,0.663,2,,,
1,NA,14,1,0.696,2,,,
1,NA,14,2,0.668,2,,,
1,NA,14,3,0.737,2,,,
1,NA,15,1,0.798,2,,,
1,NA,15,2,0.725,2,,,
1,NA,15,3,0.758,2,,,
1,NA,16,1,0.754,2,,,
1,NA,16,2,0.739,2,,,
1,NA,16,3,0.746,2,,,
1,NA,17,1,0.715,2,,,
1,NA,17,2,0.736,2,,,
1,NA,17,3,0.685,2,,,
1,NA,18,1,0.742,2,,,
1,NA,18,2,0.737,2,,,
1,NA,18,3,0.751,2,,,
1,NA,19,1,0.709,2,,,
1,NA,19,2,0.727,2,,,
1,NA,19,3,0.731,2,,,
1,NA,20,1,0.737,2,,,
1,NA,20,2,0.759,2,,,
1,NA,20,3,0.724,2,,,
1,LA,11,1,0.744,2,,,
1,LA,11,2,0.723,2,,,
1,LA,11,3,0.761,2,,,
1,LA,12,1,0.789,2,,,
1,LA,12,2,0.799,2,,,
1,LA,12,3,0.785,2,,,
1,LA,13,1,0.732,2,,,
1,LA,13,2,0.727,2,,,
1,LA,13,3,0.75,2,,,
1,LA,14,1,0.636,2,,,
1,LA,14,2,0.736,2,,,
1,LA,14,3,0.747,2,,,
1,LA,15,1,0.751,2,,,
1,LA,15,2,0.759,2,,,
1,LA,15,3,0.722,2,,,
1,LA,16,1,0.789,2,,,
1,LA,16,2,0.678,2,,,
1,LA,16,3,0.676,2,,,
1,LA,17,1,0.758,2,,,
1,LA,17,2,0.731,2,,,
1,LA,17,3,0.765,2,,,
1,LA,18,1,0.766,2,,,
1,LA,18,2,0.75,2,,,
1,LA,18,3,0.739,2,,,
1,LA,19,1,0.74,2,,,
1,LA,19,2,0.709,2,,,
1,LA,19,3,0.652,2,,,
1,LA,20,1,0.731,2,,,
1,LA,20,2,0.736,2,,,
1,LA,20,3,0.729,2,,,
1,CE,11,1,0.689,2,,,
1,CE,11,2,0.6,2,,,
1,CE,11,3,0.643,2,,,
1,CE,12,1,0.722,2,,,
1,CE,12,2,0.678,2,,,
1,CE,12,3,0.73,2,,,
1,CE,13,1,0.723,2,,,
1,CE,13,2,0.74,2,,,
1,CE,13,3,0.776,2,,,
1,CE,14,1,0.624,2,,,
1,CE,14,2,0.608,2,,,
1,CE,14,3,0.574,2,,,
1,CE,15,1,0.747,2,,,
1,CE,15,2,0.716,2,,,
1,CE,15,3,0.751,2,,,
1,CE,16,1,0.714,2,,,
1,CE,16,2,0.742,2,,,
1,CE,16,3,0.753,2,,,
1,CE,17,1,0.721,2,,,
1,CE,17,2,0.744,2,,,
1,CE,17,3,0.755,2,,,
1,CE,18,1,0.726,2,,,
1,CE,18,2,0.7,2,,,
1,CE,18,3,0.77,2,,,
1,CE,19,1,0.751,2,,,
1,CE,19,2,0.715,2,,,
1,CE,19,3,0.729,2,,,
1,CE,20,1,0.797,2,,,
1,CE,20,2,0.649,2,,,
1,CE,20,3,0.642,2,,,
1,RE,11,1,0.756,2,,,
1,RE,11,2,0.701,2,,,
1,RE,11,3,0.755,2,,,
1,RE,12,1,0.75,2,,,
1,RE,12,2,0.701,2,,,
1,RE,12,3,0.771,2,,,
1,RE,13,1,0.773,2,,,
1,RE,13,2,0.79,2,,,
1,RE,13,3,0.76,2,,,
1,RE,14,1,0.77,2,,,
1,RE,14,2,0.777,2,,,
1,RE,14,3,0.781,2,,,
1,RE,15,1,0.698,2,,,
1,RE,15,2,0.759,2,,,
1,RE,15,3,0.713,2,,,
1,RE,16,1,0.674,2,,,
1,RE,16,2,0.668,2,,,
1,RE,16,3,0.698,2,,,
1,RE,17,1,0.601,2,,,
1,RE,17,2,0.78,2,,,
1,RE,17,3,0.773,2,,,
1,RE,18,1,0.76,2,,,
1,RE,18,2,0.758,2,,,
1,RE,18,3,0.711,2,,,
1,RE,19,1,0.736,2,,,
1,RE,19,2,0.742,2,,,
1,RE,19,3,0.745,2,,,
1,RE,20,1,0.775,2,,,
1,RE,20,2,0.75,2,,,
1,RE,20,3,0.731,2,,,
2,NA,11,1,0.761,2,,,
2,NA,11,2,0.735,2,,,
2,NA,11,3,0.715,2,,,
2,NA,12,1,0.75,2,,,
2,NA,12,2,0.735,2,,,
2,NA,12,3,0.769,2,,,
2,NA,13,1,0.744,2,,,
2,NA,13,2,0.767,2,,,
2,NA,13,3,0.773,2,,,
2,NA,14,1,0.724,2,,,
2,NA,14,2,0.783,2,,,
2,NA,14,3,0.756,2,,,
2,NA,15,1,0.768,2,,,
2,NA,15,2,0.773,2,,,
2,NA,15,3,0.762,2,,,
2,NA,16,1,0.749,2,,,
2,NA,16,2,0.783,2,,,
2,NA,16,3,0.775,2,,,
2,NA,17,1,0.766,2,,,
2,NA,17,2,0.769,2,,,
2,NA,17,3,0.742,2,,,
2,NA,18,1,0.787,2,,,
2,NA,18,2,0.725,2,,,
2,NA,18,3,0.785,2,,,
2,NA,19,1,0.729,2,,,
2,NA,19,2,0.755,2,,,
2,NA,19,3,0.823,2,,,
2,NA,20,1,0.741,2,,,
2,NA,20,2,0.731,2,,,
2,NA,20,3,0.734,2,,,
2,LA,11,1,0.756,2,,,
2,LA,11,2,0.721,2,,,
2,LA,11,3,0.751,2,,,
2,LA,12,1,0.714,2,,,
2,LA,12,2,0.766,2,,,
2,LA,12,3,0.739,2,,,
2,LA,13,1,0.733,2,,,
2,LA,13,2,0.736,2,,,
2,LA,13,3,0.721,2,,,
2,LA,14,1,0.753,2,,,
2,LA,14,2,0.717,2,,,
2,LA,14,3,0.719,2,,,
2,LA,15,1,0.631,2,,,
2,LA,15,2,0.624,2,,,
2,LA,15,3,0.79,2,,,
2,LA,16,1,0.753,2,,,
2,LA,16,2,0.758,2,,,
2,LA,16,3,0.73,2,,,
2,LA,17,1,0.729,2,,,
2,LA,17,2,0.708,2,,,
2,LA,17,3,0.75,2,,,
2,LA,18,1,0.699,2,,,
2,LA,18,2,0.735,2,,,
2,LA,18,3,0.745,2,,,
2,LA,19,1,0.684,2,,,
2,LA,19,2,0.694,2,,,
2,LA,19,3,0.719,2,,,
2,LA,20,1,0.74,2,,,
2,LA,20,2,0.701,2,,,
2,LA,20,3,0.708,2,,,
2,CE,11,1,0.695,2,,,
2,CE,11,2,0.783,2,,,
2,CE,11,3,0.746,2,,,
2,CE,12,1,0.684,2,,,
2,CE,12,2,0.68,2,,,
2,CE,12,3,0.708,2,,,
2,CE,13,1,0.711,2,,,
2,CE,13,2,0.645,2,,,
2,CE,13,3,0.723,2,,,
2,CE,14,1,0.781,2,,,
2,CE,14,2,0.76,2,,,
2,CE,14,3,0.611,2,,,
2,CE,15,1,0.792,2,,,
2,CE,15,2,0.75,2,,,
2,CE,15,3,0.697,2,,,
2,CE,16,1,0.698,2,,,
2,CE,16,2,0.752,2,,,
2,CE,16,3,0.63,2,,,
2,CE,17,1,0.737,2,,,
2,CE,17,2,0.783,2,,,
2,CE,17,3,0.659,2,,,
2,CE,18,1,0.705,2,,,
2,CE,18,2,0.775,2,,,
2,CE,18,3,0.779,2,,,
2,CE,19,1,0.632,2,,,
2,CE,19,2,0.698,2,,,
2,CE,19,3,0.696,2,,,
2,CE,20,1,0.749,2,,,
2,CE,20,2,0.742,2,,,
2,CE,20,3,0.721,2,,,
2,RE,11,1,0.624,2,,,
2,RE,11,2,0.727,2,,,
2,RE,11,3,0.589,2,,,
2,RE,12,1,0.67,2,,,
2,RE,12,2,0.681,2,,,
2,RE,12,3,0.703,2,,,
2,RE,13,1,0.723,2,,,
2,RE,13,2,0.755,2,,,
2,RE,13,3,0.748,2,,,
2,RE,14,1,0.604,2,,,
2,RE,14,2,0.782,2,,,
2,RE,14,3,0.769,2,,,
2,RE,15,1,0.701,2,,,
2,RE,15,2,0.732,2,,,
2,RE,15,3,0.738,2,,,
2,RE,16,1,0.73,2,,,
2,RE,16,2,0.686,2,,,
2,RE,16,3,0.7,2,,,
2,RE,17,1,0.753,2,,,
2,RE,17,2,0.683,2,,,
2,RE,17,3,0.759,2,,,
2,RE,18,1,0.741,2,,,
2,RE,18,2,0.786,2,,,
2,RE,18,3,0.688,2,,,
2,RE,19,1,0.706,2,,,
2,RE,19,2,0.753,2,,,
2,RE,19,3,0.787,2,,,
2,RE,20,1,0.753,2,,,
2,RE,20,2,0.742,2,,,
2,RE,20,3,0.769,2,,,
2,NA,11,1,0.758,2,,,
3,NA,11,2,0.628,2,,,
3,NA,11,3,0.631,2,,,
3,NA,12,1,0.702,2,,,
3,NA,12,2,0.697,2,,,
3,NA,12,3,0.692,2,,,
3,NA,13,1,0.678,2,,,
3,NA,13,2,0.732,2,,,
3,NA,13,3,0.692,2,,,
3,NA,14,1,0.703,2,,,
3,NA,14,2,0.717,2,,,
3,NA,14,3,0.624,2,,,
3,NA,15,1,0.702,2,,,
3,NA,15,2,0.695,2,,,
3,NA,15,3,0.608,2,,,
3,NA,16,1,0.757,2,,,
3,NA,16,2,0.76,2,,,
3,NA,16,3,0.749,2,,,
3,NA,17,1,0.686,2,,,
3,NA,17,2,0.695,2,,,
3,NA,17,3,0.623,2,,,
3,NA,18,1,0.705,2,,,
3,NA,18,2,0.717,2,,,
3,NA,18,3,0.711,2,,,
3,NA,19,1,0.709,2,,,
3,NA,19,2,0.738,2,,,
3,NA,19,3,0.624,2,,,
3,NA,20,1,0.694,2,,,
3,NA,20,2,0.684,2,,,
3,NA,20,3,0.71,2,,,
3,LA,11,1,0.743,2,,,
3,LA,11,2,0.753,2,,,
3,LA,11,3,0.79,2,,,
3,LA,12,1,0.729,2,,,
3,LA,12,2,0.737,2,,,
3,LA,12,3,0.689,2,,,
3,LA,13,1,0.772,2,,,
3,LA,13,2,0.697,2,,,
3,LA,13,3,0.729,2,,,
3,LA,14,1,0.667,2,,,
3,LA,14,2,0.697,2,,,
3,LA,14,3,0.726,2,,,
3,LA,15,1,0.797,2,,,
3,LA,15,2,0.748,2,,,
3,LA,15,3,0.723,2,,,
3,LA,16,1,0.706,2,,,
3,LA,16,2,0.591,2,,,
3,LA,16,3,0.71,2,,,
3,LA,17,1,0.731,2,,,
3,LA,17,2,0.689,2,,,
3,LA,17,3,0.717,2,,,
3,LA,18,1,0.713,2,,,
3,LA,18,2,0.753,2,,,
3,LA,18,3,0.736,2,,,
3,LA,19,1,0.711,2,,,
3,LA,19,2,0.653,2,,,
3,LA,19,3,0.651,2,,,
3,LA,20,1,0.696,2,,,
3,LA,20,2,0.698,2,,,
3,LA,20,3,0.706,2,,,
3,CE,11,1,0.741,2,,,
3,CE,11,2,0.765,2,,,
3,CE,11,3,0.748,2,,,
3,CE,12,1,0.756,2,,,
3,CE,12,2,0.751,2,,,
3,CE,12,3,0.737,2,,,
3,CE,13,1,0.786,2,,,
3,CE,13,2,0.736,2,,,
3,CE,13,3,0.777,2,,,
3,CE,14,1,0.747,2,,,
3,CE,14,2,0.68,2,,,
3,CE,14,3,0.719,2,,,
3,CE,15,1,0.682,2,,,
3,CE,15,2,0.737,2,,,
3,CE,15,3,0.752,2,,,
3,CE,16,1,0.792,2,,,
3,CE,16,2,0.782,2,,,
3,CE,16,3,0.759,2,,,
3,CE,17,1,0.704,2,,,
3,CE,17,2,0.788,2,,,
3,CE,17,3,0.665,2,,,
3,CE,18,1,0.727,2,,,
3,CE,18,2,0.709,2,,,
3,CE,18,3,0.653,2,,,
3,CE,19,1,0.668,2,,,
3,CE,19,2,0.625,2,,,
3,CE,19,3,0.749,2,,,
3,CE,20,1,0.765,2,,,
3,CE,20,2,0.733,2,,,
3,CE,20,3,0.763,2,,,
3,RE,11,1,0.714,2,,,
3,RE,11,2,0.731,2,,,
3,RE,11,3,0.608,2,,,
3,RE,12,1,0.743,2,,,
3,RE,12,2,0.655,2,,,
3,RE,12,3,0.716,2,,,
3,RE,13,1,0.707,2,,,
3,RE,13,2,0.741,2,,,
3,RE,13,3,0.726,2,,,
3,RE,14,1,0.727,2,,,
3,RE,14,2,0.754,2,,,
3,RE,14,3,0.73,2,,,
3,RE,15,1,0.739,2,,,
3,RE,15,2,0.741,2,,,
3,RE,15,3,0.768,2,,,
3,RE,16,1,0.691,2,,,
3,RE,16,2,0.717,2,,,
3,RE,16,3,0.69,2,,,
3,RE,17,1,0.683,2,,,
3,RE,17,2,0.663,2,,,
3,RE,17,3,0.723,2,,,
3,RE,18,1,0.769,2,,,
3,RE,18,2,0.782,2,,,
3,RE,18,3,0.772,2,,,
3,RE,19,1,0.708,2,,,
3,RE,19,2,0.708,2,,,
3,RE,19,3,0.792,2,,,
3,RE,20,1,0.679,2,,,
3,RE,20,2,0.731,2,,,
3,RE,20,3,0.702,2,,,