Plot,Cumulative,Timepoint
NA1,4,1
LA1,94,1
CE1,10,1
RE1,8,1
NA2,36,1
LA2,24,1
CE2,16,1
RE2,9,1
NA3,29,1
LA3,38,1
CE3,32,1
RE3,20,1
NA1,4,2
LA1,122,2
CE1,10,2
RE1,10,2
NA2,38,2
LA2,28,2
CE2,18,2
RE2,9,2
NA3,38,2
LA3,54,2
CE3,45,2
RE3,22,2
NA1,22,3
LA1,326,3
CE1,39,3
RE1,34,3
NA2,226,3
LA2,189,3
CE2,137,3
RE2,102,3
NA3,316,3
LA3,195,3
CE3,253,3
RE3,74,3
NA1,49,4
LA1,561,4
CE1,87,4
RE1,97,4
NA2,366,4
LA2,320,4
CE2,278,4
RE2,180,4
NA3,611,4
LA3,363,4
CE3,598,4
RE3,171,4
NA1,53,5
LA1,734,5
CE1,101,5
RE1,128,5
NA2,493,5
LA2,368,5
CE2,346,5
RE2,251,5
NA3,738,5
LA3,466,5
CE3,743,5
RE3,208,5