Date,Plot,Seedlings,Cumulative,Block,Treatment,,,Date,Plot,Cumulative
06/05/2025,NA1,4,4,1,NA,,,06/05/2025,NA1,4
20/05/2025,NA1,0,4,1,NA,,,06/05/2025,LA1,94
03/06/2025,NA1,18,22,1,NA,,,06/05/2025,CE1,10
18/06/2025,NA1,27,49,1,NA,,,06/05/2025,RE1,8
30/06/2025,NA1,4,53,1,NA,,,06/05/2025,NA2,36
06/05/2025,LA1,94,94,1,LA,,,06/05/2025,LA2,24
20/05/2025,LA1,28,122,1,LA,,,06/05/2025,CE2,16
03/06/2025,LA1,204,326,1,LA,,,06/05/2025,RE2,9
18/06/2025,LA1,235,561,1,LA,,,06/05/2025,NA3,29
30/06/2025,LA1,173,734,1,LA,,,06/05/2025,LA3,38
06/05/2025,CE1,10,10,1,CE,,,06/05/2025,CE3,32
20/05/2025,CE1,0,10,1,CE,,,06/05/2025,RE3,20
03/06/2025,CE1,29,39,1,CE,,,20/05/2025,NA1,4
18/06/2025,CE1,48,87,1,CE,,,20/05/2025,LA1,122
30/06/2025,CE1,14,101,1,CE,,,20/05/2025,CE1,10
06/05/2025,RE1,8,8,1,RE,,,20/05/2025,RE1,10
20/05/2025,RE1,2,10,1,RE,,,20/05/2025,NA2,38
03/06/2025,RE1,24,34,1,RE,,,20/05/2025,LA2,28
18/06/2025,RE1,63,97,1,RE,,,20/05/2025,CE2,18
30/06/2025,RE1,31,128,1,RE,,,20/05/2025,RE2,9
06/05/2025,NA2,36,36,2,NA,,,20/05/2025,NA3,38
20/05/2025,NA2,2,38,2,NA,,,20/05/2025,LA3,54
03/06/2025,NA2,188,226,2,NA,,,20/05/2025,CE3,45
18/06/2025,NA2,140,366,2,NA,,,20/05/2025,RE3,22
30/06/2025,NA2,127,493,2,NA,,,03/06/2025,NA1,22
06/05/2025,LA2,24,24,2,LA,,,03/06/2025,LA1,326
20/05/2025,LA2,4,28,2,LA,,,03/06/2025,CE1,39
03/06/2025,LA2,161,189,2,LA,,,03/06/2025,RE1,34
18/06/2025,LA2,131,320,2,LA,,,03/06/2025,NA2,226
30/06/2025,LA2,48,368,2,LA,,,03/06/2025,LA2,189
06/05/2025,CE2,16,16,2,CE,,,03/06/2025,CE2,137
20/05/2025,CE2,2,18,2,CE,,,03/06/2025,RE2,102
03/06/2025,CE2,119,137,2,CE,,,03/06/2025,NA3,316
18/06/2025,CE2,141,278,2,CE,,,03/06/2025,LA3,195
30/06/2025,CE2,68,346,2,CE,,,03/06/2025,CE3,253
06/05/2025,RE2,9,9,2,RE,,,03/06/2025,RE3,74
20/05/2025,RE2,0,9,2,RE,,,18/06/2025,NA1,49
03/06/2025,RE2,93,102,2,RE,,,18/06/2025,LA1,561
18/06/2025,RE2,78,180,2,RE,,,18/06/2025,CE1,87
30/06/2025,RE2,71,251,2,RE,,,18/06/2025,RE1,97
06/05/2025,NA3,29,29,3,NA,,,18/06/2025,NA2,366
20/05/2025,NA3,9,38,3,NA,,,18/06/2025,LA2,320
03/06/2025,NA3,278,316,3,NA,,,18/06/2025,CE2,278
18/06/2025,NA3,295,611,3,NA,,,18/06/2025,RE2,180
30/06/2025,NA3,127,738,3,NA,,,18/06/2025,NA3,611
06/05/2025,LA3,38,38,3,LA,,,18/06/2025,LA3,363
20/05/2025,LA3,16,54,3,LA,,,18/06/2025,CE3,598
03/06/2025,LA3,141,195,3,LA,,,18/06/2025,RE3,171
18/06/2025,LA3,168,363,3,LA,,,30/06/2025,NA1,53
30/06/2025,LA3,103,466,3,LA,,,30/06/2025,LA1,734
06/05/2025,CE3,32,32,3,CE,,,30/06/2025,CE1,101
20/05/2025,CE3,13,45,3,CE,,,30/06/2025,RE1,128
03/06/2025,CE3,208,253,3,CE,,,30/06/2025,NA2,493
18/06/2025,CE3,345,598,3,CE,,,30/06/2025,LA2,368
30/06/2025,CE3,145,743,3,CE,,,30/06/2025,CE2,346
06/05/2025,RE3,20,20,3,RE,,,30/06/2025,RE2,251
20/05/2025,RE3,2,22,3,RE,,,30/06/2025,NA3,738
03/06/2025,RE3,52,74,3,RE,,,30/06/2025,LA3,466
18/06/2025,RE3,97,171,3,RE,,,30/06/2025,CE3,743
30/06/2025,RE3,37,208,3,RE,,,30/06/2025,RE3,208