Date,Plot,Seedlings,Total,Group
2025-05-06,NA1,4,9,A
2025-05-06,LA1,94,293,B
2025-05-06,CE1,10,26,C
2025-05-06,RE1,8,16,D
2025-05-06,NA2,36,185,A
2025-05-06,LA2,24,55,B
2025-05-06,CE2,16,66,C
2025-05-06,RE2,9,36,D
2025-05-06,NA3,29,337,A
2025-05-06,LA3,38,346,B
2025-05-06,CE3,32,302,C
2025-05-06,RE3,20,46,D
2025-05-20,NA1,0,9,A
2025-05-20,LA1,28,345,B
2025-05-20,CE1,0,25,C
2025-05-20,RE1,2,17,D
2025-05-20,NA2,2,195,A
2025-05-20,LA2,4,66,B
2025-05-20,CE2,2,68,C
2025-05-20,RE2,0,44,D
2025-05-20,NA3,9,288,A
2025-05-20,LA3,16,285,B
2025-05-20,CE3,13,262,C
2025-05-20,RE3,2,47,D
2025-06-03,NA1,18,27,A
2025-06-03,LA1,204,412,B
2025-06-03,CE1,29,53,C
2025-06-03,RE1,24,41,D
2025-06-03,NA2,188,338,A
2025-06-03,LA2,161,217,B
2025-06-03,CE2,119,170,C
2025-06-03,RE2,93,136,D
2025-06-03,NA3,278,535,A
2025-06-03,LA3,141,414,B
2025-06-03,CE3,208,453,C
2025-06-03,RE3,52,90,D
2025-06-18,NA1,27,39,A
2025-06-18,LA1,235,512,B
2025-06-18,CE1,48,74,C
2025-06-18,RE1,63,85,D
2025-06-18,NA2,140,314,A
2025-06-18,LA2,131,196,B
2025-06-18,CE2,141,193,C
2025-06-18,RE2,78,121,D
2025-06-18,NA3,295,617,A
2025-06-18,LA3,168,444,B
2025-06-18,CE3,345,607,C
2025-06-18,RE3,97,134,D
2025-06-30,NA1,4,35,A
2025-06-30,LA1,173,493,B
2025-06-30,CE1,14,68,C
2025-06-30,RE1,31,92,D
2025-06-30,NA2,127,300,A
2025-06-30,LA2,48,153,B
2025-06-30,CE2,68,136,C
2025-06-30,RE2,71,144,D
2025-06-30,NA3,127,470,A
2025-06-30,LA3,103,443,B
2025-06-30,CE3,145,434,C
2025-06-30,RE3,37,135,D